# onet_version=30.3  (O*NET Related Occupations + Occupation Data; public domain / CC-BY 4.0; regenerate with scripts/build_taxonomy_extra.py)
# format: soc_code<TAB>related_soc<TAB>tier<TAB>related_title
11-3051.00	17-3026.00	Supplemental	Industrial Engineering Technologists and Technicians
11-3051.00	51-1011.00	Supplemental	First-Line Supervisors of Production and Operating Workers
11-3051.00	43-5061.00	Supplemental	Production, Planning, and Expediting Clerks
11-3051.00	51-2092.00	Supplemental	Team Assemblers
11-3051.00	53-1042.00	Supplemental	First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand
11-3051.00	13-1081.01	Supplemental	Logistics Engineers
11-3051.00	17-2141.00	Supplemental	Mechanical Engineers
11-3051.00	49-1011.00	Supplemental	First-Line Supervisors of Mechanics, Installers, and Repairers
11-3051.01	19-4099.01	Primary-Short	Quality Control Analysts
11-3051.01	17-2112.02	Primary-Short	Validation Engineers
11-3051.01	17-2112.00	Primary-Short	Industrial Engineers
11-3051.01	11-3051.00	Primary-Short	Industrial Production Managers
11-3051.01	15-1253.00	Primary-Short	Software Quality Assurance Analysts and Testers
11-3051.01	17-2112.03	Primary-Long	Manufacturing Engineers
11-3051.01	17-2111.00	Primary-Long	Health and Safety Engineers, Except Mining Safety Engineers and Inspectors
11-3051.01	19-4031.00	Primary-Long	Chemical Technicians
11-3051.01	11-9199.01	Primary-Long	Regulatory Affairs Managers
11-3051.01	11-9199.02	Primary-Long	Compliance Managers
11-3051.01	17-3026.00	Supplemental	Industrial Engineering Technologists and Technicians
11-3051.01	17-3028.00	Supplemental	Calibration Technologists and Technicians
11-3051.01	19-2031.00	Supplemental	Chemists
11-3051.01	19-4013.00	Supplemental	Food Science Technicians
11-3051.01	17-2141.00	Supplemental	Mechanical Engineers
11-3051.01	51-9061.00	Supplemental	Inspectors, Testers, Sorters, Samplers, and Weighers
11-3051.01	19-1012.00	Supplemental	Food Scientists and Technologists
11-3051.01	51-1011.00	Supplemental	First-Line Supervisors of Production and Operating Workers
11-3051.01	13-1082.00	Supplemental	Project Management Specialists
11-3051.01	11-9121.00	Supplemental	Natural Sciences Managers
11-3051.02	11-3051.06	Primary-Short	Hydroelectric Production Managers
11-3051.02	11-3051.04	Primary-Short	Biomass Power Plant Managers
11-3051.02	49-9099.01	Primary-Short	Geothermal Technicians
11-3051.02	11-3051.03	Primary-Short	Biofuels Production Managers
11-3051.02	51-8013.00	Primary-Short	Power Plant Operators
11-3051.02	11-9199.09	Primary-Long	Wind Energy Operations Managers
11-3051.02	17-2199.03	Primary-Long	Energy Engineers, Except Wind and Solar
11-3051.02	51-8092.00	Primary-Long	Gas Plant Operators
11-3051.02	11-3051.00	Primary-Long	Industrial Production Managers
11-3051.02	11-3051.01	Primary-Long	Quality Control Systems Managers
11-3051.02	51-8013.04	Supplemental	Hydroelectric Plant Technicians
11-3051.02	51-8013.03	Supplemental	Biomass Plant Technicians
11-3051.02	51-8031.00	Supplemental	Water and Wastewater Treatment Plant and System Operators
11-3051.02	11-9041.01	Supplemental	Biofuels/Biodiesel Technology and Product Development Managers
11-3051.02	11-9199.10	Supplemental	Wind Energy Development Managers
11-3051.02	51-8099.01	Supplemental	Biofuels Processing Technicians
11-3051.02	17-2171.00	Supplemental	Petroleum Engineers
11-3051.02	17-2051.02	Supplemental	Water/Wastewater Engineers
11-3051.02	17-2199.10	Supplemental	Wind Energy Engineers
11-3051.02	49-9081.00	Supplemental	Wind Turbine Service Technicians
11-3051.03	51-8099.01	Primary-Short	Biofuels Processing Technicians
